name,artist,popularity,explicit,energy,tempo,positiveness,danceability,acousticness,loudness,mode,duration_minutes,key,album_name,year
Tal Vez,Paulo Londra,79,False,0.649,161.986,0.741,0.855,0.25,-2.443,Major,4.4,Gsharp/Aflat,Homerun,2019
No Puedo,Paulo Londra,68,False,0.68,140.041,0.519,0.792,0.361,-5.392,Minor,2.9,F,Homerun,2019
Adan y Eva,Paulo Londra,74,False,0.709,171.993,0.72,0.767,0.323,-4.47,Major,4.3,Csharp/Dflat,Homerun,2019
Demasiado Loco,Paulo Londra,68,False,0.377,85.014,0.403,0.824,0.327,-8.859,Minor,2.8,Csharp/Dflat,Homerun,2019
Maldita Abusadora,Paulo Londra,63,False,0.373,117.98,0.669,0.781,0.619,-9.35,Minor,4.2,G,Homerun,2019
Y Yo No Sé,Paulo Londra,59,False,0.553,159.983,0.642,0.845,0.0748,-2.068,Minor,3.2,A,Homerun,2019
So Fresh,Paulo Londra,58,False,0.681,96.516,0.451,0.812,0.0978,-6.869,Minor,2.8,B,Homerun,2019
Querido Amigo,Paulo Londra,66,False,0.505,123.963,0.599,0.916,0.555,-6.851,Minor,3.8,Gsharp/Aflat,Homerun,2019
Romeo y Julieta,Paulo Londra,62,False,0.636,130.051,0.464,0.871,0.0145,-6.916,Minor,3.0,E,Homerun,2019
Por Eso Vine,Paulo Londra,72,False,0.646,188.009,0.625,0.76,0.233,-5.048,Minor,3.0,Gsharp/Aflat,Homerun,2019
Solo Pienso En Ti (feat. De La Ghetto & Justin Quiles),Paulo Londra,64,False,0.697,129.978,0.586,0.86,0.102,-4.727,Major,4.5,Csharp/Dflat,Homerun,2019
Forever Alone,Paulo Londra,67,False,0.418,129.965,0.526,0.883,0.337,-8.095,Minor,3.6,G,Homerun,2019
Condenado Para El Millón,Paulo Londra,63,False,0.75,75.3,0.208,0.643,0.00531,-4.755,Minor,3.7,B,Homerun,2019
Nena Maldición (feat. Lenny Tavárez),Paulo Londra,78,False,0.531,118.96,0.367,0.566,0.192,-6.635,Major,3.8,Fsharp/Gflat,Homerun,2019
Dímelo,Paulo Londra,62,False,0.652,135.015,0.442,0.847,0.0752,-6.79,Major,3.5,D,Homerun,2019
Chica Paranormal,Paulo Londra,73,False,0.61,139.948,0.699,0.86,0.0605,-5.93,Minor,3.7,Fsharp/Gflat,Homerun,2019
